term,definition,category,source
Acceptance Company Paper,Short term negotiable debt securities issued by finance companies to fund consumer loans such as automobiles and appliances.,Money Markets,Public Finance Glossary
Accounts Payable,"Amounts owed by a company for goods or services purchased and payable within one year, recorded as a current liability.",Accounting,Public Finance Glossary
Accounts Receivable,"Amounts owed to a company for goods or services sold, expected to be collected within one year and recorded as a current asset.",Accounting,Public Finance Glossary
Accrued Interest,Interest that has accumulated on a bond or debenture since the last interest payment date.,Fixed Income,Public Finance Glossary
Affiliated Company,A company in which another corporation owns less than 50 percent of the voting shares or is under common control.,Corporate Structure,Public Finance Glossary
Agent,An investment dealer acting on behalf of a buyer or seller without taking ownership of the securities.,Capital Markets,Public Finance Glossary
Amortization,The systematic write off of the cost of an intangible asset over its useful life.,Accounting,Public Finance Glossary
Annual Report,A formal report issued annually by a company containing audited financial statements and a review of operations.,Financial Reporting,Public Finance Glossary
Arbitrage,The simultaneous purchase and sale of a security in different markets to profit from price differences.,Trading,Public Finance Glossary
Arrears,Interest or dividends that were not paid when due and remain outstanding.,Fixed Income,Public Finance Glossary
Ask,The lowest price at which a seller is willing to sell a security.,Trading,Public Finance Glossary
Assets,Resources owned or controlled by a company that are expected to provide future economic benefit.,Accounting,Public Finance Glossary
Associated Company,A company owned jointly by two or more other companies.,Corporate Structure,Public Finance Glossary
At The Money Option,An option whose exercise price is equal or nearly equal to the market price of the underlying security.,Derivatives,Public Finance Glossary
Audit,An independent examination of financial records to verify accuracy and compliance with accounting standards.,Financial Reporting,Public Finance Glossary
Authorized Shares,The maximum number of shares a company is legally permitted to issue.,Equity Markets,Public Finance Glossary
Averages and Indexes,Statistical measures used to track the performance of markets or economic activity.,Market Indicators,Public Finance Glossary
Averaging Down,The practice of buying additional units of a security at lower prices to reduce average cost.,Investment Strategy,Public Finance Glossary
Balance Sheet,"A financial statement showing a company’s assets, liabilities, and shareholders’ equity at a specific date.",Financial Statements,Public Finance Glossary
Balloon,A disproportionately large payment due at the final maturity of a serial bond issue.,Fixed Income,Public Finance Glossary
Bank of Canada,"Canada’s central bank responsible for monetary policy, currency issuance, and financial system stability.",Central Banking,Public Finance Glossary
Bank Rate,The minimum interest rate at which the Bank of Canada lends to major financial institutions.,Central Banking,Public Finance Glossary
Bankers Acceptance,"A short term debt instrument guaranteed by a bank, reducing credit risk and yield.",Money Markets,Public Finance Glossary
Banking Group,A syndicate of investment dealers underwriting a new securities issue.,Capital Markets,Public Finance Glossary
Bankrupt,A legal status in which an individual or company cannot meet debt obligations.,Insolvency,Public Finance Glossary
Basis Point,"One hundredth of a percentage point, commonly used to express yield differences.",Fixed Income,Public Finance Glossary
Bear Market,A market environment characterized by declining prices.,Market Conditions,Public Finance Glossary
Bearer Security,A security whose ownership belongs to whoever physically holds the certificate.,Securities,Public Finance Glossary
Beneficial Owner,The individual or entity that ultimately owns a security and receives its benefits.,Securities,Public Finance Glossary
Best Efforts Underwriting,An underwriting arrangement where the dealer does not guarantee sale of the entire issue.,Capital Markets,Public Finance Glossary
